,times_1_SRF79370,power_1_SRF79370,times_2_SRF79371,power_2_SRF79371,times_3_SRF79372,power_3_SRF79372,times_4_SRF79373,power_4_SRF79373,times_5_SRF79374,power_5_SRF79374,times_6_SRF79375,power_6_SRF79375,times_7_SRF79376,power_7_SRF79376,times_8_SRF79377,power_8_SRF79377,times_9_SRF79378,power_9_SRF79378,times_10_SRF79379,power_10_SRF79379,times_11_SRF79380,power_11_SRF79380,times_12_SRF79381,power_12_SRF79381,times_13_SRF79382,power_13_SRF79382,times_14_SRF79383,power_14_SRF79383,times_15_SRF79388,power_15_SRF79388,times_16_SRF79385,power_16_SRF79385,times_17_SRF79386,power_17_SRF79386,times_18_SRF79387,power_18_SRF79387,times_19_SRF79388,power_19_SRF79388,times_20_SRF79389,power_20_SRF79389
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.01,0.02436,0.01,0.02436,0.01,0.02436,0.01,0.02436,0.01,0.02436,0.01,0.02436,0.01,0.02436,0.01,0.01218,0.01,0.01218,0.01,0.01218,0.01,0.01218,0.020286621,0.00786,0.02021582,0.0132,0.020375,0.01362,0.01,0.03654,0.01,0.03654,0.01,0.03654,0.01,0.03654,0.01,0.03654,0.01,0.03654
2,0.02,0.04872,0.02,0.04872,0.02,0.04872,0.02,0.04872,0.02,0.04872,0.02,0.04872,0.02,0.04872,0.02,0.02436,0.02,0.02436,0.02,0.02436,0.02,0.02436,0.040573242,0.01176,0.040431641,0.0294,0.04075,0.03132,0.02,0.07308,0.02,0.07308,0.02,0.07308,0.02,0.07308,0.02,0.07308,0.02,0.07308
3,0.03,0.11166,0.03,0.11166,0.03,0.11166,0.03,0.11166,0.03,0.11166,0.03,0.11166,0.03,0.11166,0.03,0.05586,0.03,0.05586,0.03,0.05586,0.03,0.05586,0.060859863,0.02382,0.060647461,0.08328,0.061125,0.08364,0.03,0.16752,0.03,0.16752,0.03,0.16752,0.03,0.16752,0.03,0.16752,0.03,0.16752
4,0.04,0.21456,0.04,0.21456,0.04,0.21456,0.04,0.21456,0.04,0.21456,0.04,0.21456,0.04,0.21456,0.04,0.10728,0.04,0.10728,0.04,0.10728,0.04,0.10728,0.081146484,0.06096,0.080863281,0.24426,0.0815,0.22638,0.04,0.32184,0.04,0.32184,0.04,0.32184,0.04,0.32184,0.04,0.32184,0.04,0.32184
5,0.05,0.38076,0.05,0.38076,0.05,0.38076,0.05,0.38076,0.05,0.38076,0.05,0.38076,0.05,0.38076,0.05,0.19038,0.05,0.19038,0.05,0.19038,0.05,0.19038,0.101433105,0.16764,0.101079102,0.63492,0.101874512,0.52956,0.05,0.57114,0.05,0.57114,0.05,0.57114,0.05,0.57114,0.05,0.57114,0.05,0.57114
6,0.06,0.64002,0.06,0.64002,0.06,0.64002,0.06,0.64002,0.06,0.64002,0.06,0.64002,0.06,0.64002,0.06,0.32004,0.06,0.32004,0.06,0.32004,0.06,0.32004,0.121719727,0.4659,0.121294434,1.37514,0.122249512,1.00122,0.06,0.96006,0.06,0.96006,0.06,0.96006,0.06,0.96006,0.06,0.96006,0.06,0.96006
7,0.07,1.03014,0.07,1.03014,0.07,1.03014,0.07,1.03014,0.07,1.03014,0.07,1.03014,0.07,1.03014,0.07,0.51504,0.07,0.51504,0.07,0.51504,0.07,0.51504,0.142006348,1.16766,0.141510254,2.37096,0.142624512,1.50606,0.07,1.54518,0.07,1.54518,0.07,1.54518,0.07,1.54518,0.07,1.54518,0.07,1.54518
8,0.08,1.5531,0.08,1.5531,0.08,1.5531,0.08,1.5531,0.08,1.5531,0.08,1.5531,0.08,1.5531,0.08,0.77652,0.08,0.77652,0.08,0.77652,0.08,0.77652,0.162292969,2.5047,0.161726074,3.23976,0.162999512,1.77924,0.08,2.32962,0.08,2.32962,0.08,2.32962,0.08,2.32962,0.08,2.32962,0.08,2.32962
9,0.09,2.22168,0.09,2.22168,0.09,2.22168,0.09,2.22168,0.09,2.22168,0.09,2.22168,0.09,2.22168,0.09,1.11084,0.09,1.11084,0.09,1.11084,0.09,1.11084,0.18257959,4.36746,0.181941894,3.6012,0.183374512,1.78812,0.09,3.33252,0.09,3.33252,0.09,3.33252,0.09,3.33252,0.09,3.33252,0.09,3.33252
